	path	score	n_metabolites	n_reactions
0	processed/2007179.json.gz	1.0	12805	2295
1	processed/1950624.json.gz	1.0	1049	204
2	processed/861115.json.gz	1.0	892	158
3	processed/1914927.json.gz	1.0	604	100
4	processed/651224.json.gz	1.0	380	73
5	processed/1601870.json.gz	1.0	253	45
6	processed/1603978.json.gz	1.0	253	45
7	processed/1225142.json.gz	1.0	202	23
8	processed/1911180.json.gz	1.0	196	39
9	processed/1091532.json.gz	1.0	92	19
10	processed/398451.json.gz	1.0	90	10
11	processed/2048159.json.gz	1.0	83	12
12	processed/477222.json.gz	1.0	63	8
13	processed/1189644.json.gz	1.0	61	14
14	processed/2047986.json.gz	1.0	60	9
15	processed/179188.json.gz	1.0	56	11
16	processed/2049037.json.gz	1.0	54	8
17	processed/1900206.json.gz	1.0	53	8
18	processed/1954054.json.gz	1.0	53	10
19	processed/1495522.json.gz	1.0	49	7
20	processed/1525991.json.gz	1.0	44	6
21	processed/1087197.json.gz	1.0	42	7
22	processed/1588102.json.gz	1.0	42	13
23	processed/1525619.json.gz	1.0	40	8
24	processed/517651.json.gz	1.0	40	6
25	processed/174665.json.gz	1.0	35	5
26	processed/2075245.json.gz	1.0	35	7
27	processed/1442851.json.gz	1.0	33	6
28	processed/744901.json.gz	1.0	32	13
29	processed/2051352.json.gz	1.0	30	5
30	processed/1087294.json.gz	1.0	27	4
31	processed/1215966.json.gz	1.0	23	4
32	processed/1216181.json.gz	1.0	21	4
33	processed/283031.json.gz	1.0	17	3
34	processed/1604410.json.gz	1.0	16	2
35	processed/2054094.json.gz	1.0	16	2
36	processed/1087442.json.gz	1.0	13	7
37	processed/165744.json.gz	1.0	10	2
38	processed/340803.json.gz	1.0	10	2
39	processed/1878439.json.gz	1.0	9	1
40	processed/1878458.json.gz	1.0	9	1
41	processed/760586.json.gz	1.0	9	1
42	processed/1181177.json.gz	1.0	8	1
43	processed/1495507.json.gz	1.0	7	1
44	processed/1878477.json.gz	1.0	7	1
45	processed/2044549.json.gz	1.0	7	3
46	processed/1087186.json.gz	1.0	5	1
